id,value
1,26
1,39
1,23
1,12
1,16
2,14
2,12
2,2
2,0
2,10
3,0
3,3
3,0
3,11
3,25
4,4
4,11
4,16
4,8
4,7
5,2
5,1
5,1
5,0
5,2
6,17
6,2
6,7
6,5
6,6
7,3
7,14
7,2
7,0
7,10
8,4
8,14
8,13
8,12
8,10
9,5
9,4
9,1
9,3
9,3
10,2
10,1
10,2
10,2
10,2
11,1
11,0
11,1
11,0
11,0
12,2
12,2
12,3
12,1
12,0
13,2
13,1
13,2
13,0
13,0
14,0
14,1
14,1
14,1
14,1
15,1
15,3
15,0
15,0
15,1
16,2
16,0
16,3
16,0
16,2
